Branch No,Branch Code,LATITUDE,LONGITUDE,Machines,Area,District,Branch Name,Branch Name 2,Nbhd Tier,Tier,Youth Hub,Square Footage,facility_master_id,Branch Postal Code,FacilityID,OverDrive Branch,NBHD Name,NBHD No,City,NIA2014,Branch Address,Branch Telephone,City Councillor 2014-2018,FSA,Prov,RealBranch,Ward No,Ward Region,geometry
61,MS,43.770063,-79.17879099999998,10.0,Albert Campbell-Cedarbrae-Malvern,Albert Campbell,Morningside,Morningside,Neighbourhood 2,NL,No,7000.0,47.0,M1E2S8,1083.0,Morningside (Toronto Public Library),West Hill,136.0,Scarborough,1.0,4279 Lawrence Ave E,(416) 396-8881,Ron Moeser,M1E,ON,1,44.0,Scarborough East,POINT (-79.17879099999998 43.770063)
62,MD,43.68632399999991,-79.4882159999999,19.0,Albion-M.A.Shchuka-York Woods,Maria A. Shchuka,Mount Dennis,Mount Dennis,Neighbourhood 2,NL,No,11350.0,28.0,M6N3S3,1084.0,Mount Dennis (Toronto Public Library),Mount Dennis,115.0,York,1.0,1123 Weston Rd,(416) 394-1008,Frances Nunziata,M6N,ON,1,11.0,York South-Weston,POINT (-79.48821599999989 43.68632399999991)
63,MP,43.703471999999906,-79.38819099999999,2.0,Lillian H.Smith-Northern District,Northern District,Mount Pleasant,Mount Pleasant,Neighbourhood 3,NL,No,5829.0,27.0,M4S2M5,1085.0,Mount Pleasant (Toronto Public Library),Mount Pleasant East,99.0,Toronto,0.0,599 Mt. Pleasant Rd,(416) 393-7737,Josh Matlow,M4S,ON,1,22.0,St. Paul's,POINT (-79.38819099999999 43.70347199999991)
64,NT,43.597875,-79.50893099999999,8.0,Bloor/Gladstone-Brentwood-Richview,Richview,New Toronto,New Toronto,Neighbourhood 3,NL,No,9925.0,31.0,M8V3G5,1086.0,New Toronto (Toronto Public Library),New Toronto,18.0,Etobicoke,0.0,110 Eleventh St,(416) 394-5350,Mark Grimes,M8V,ON,1,6.0,Etobicoke Lakeshore,POINT (-79.50893099999999 43.597875)
65,CL,43.768284,-79.41272399999991,122.0,R & R,North York Central,North York Central,North York Central,R&R,R&R,No,168022.0,69.0,M2N5N9,1004.0,North York Central Library (Toronto Public Library),Willowdale East,51.0,North York,0.0,5120 Yonge St,(416) 395-5535,John Filion,M2N,ON,1,23.0,Willowdale,POINT (-79.41272399999991 43.768284)
66,ND,43.70785899999991,-79.4003579999999,26.0,Lillian H.Smith-Northern District,Northern District,Northern District,Northern District,District,DL,No,45750.0,33.0,M4R1B9,1005.0,Northern District (Toronto Public Library),Yonge-Eglinton,100.0,Toronto,0.0,40 Orchard View Blvd,(416) 393-7610,Christin Carmichael Greb,M4R,ON,1,16.0,Eglinton-Lawrence,POINT (-79.4003579999999 43.70785899999991)
67,NE,43.712029999999906,-79.564986,6.0,Albion-M.A.Shchuka-York Woods,Albion,Northern Elms,Northern Elms,Neighbourhood 3,NL,No,3032.0,,M9W1P1,1087.0,Northern Elms (Toronto Public Library),West Humber-Clairville,1.0,Etobicoke,1.0,"123 B Rexdale Blvd, Unit 5",(416) 394-5230,Rob Ford,M9W,ON,1,2.0,Etobicoke North,POINT (-79.564986 43.71202999999991)
68,OV,43.68789099999999,-79.4389749999999,11.0,Albion-M.A.Shchuka-York Woods,Maria A. Shchuka,Oakwood Village Library and Arts Centre,Oakwood Village Library and Arts Centre,Neighbourhood 2,NL,No,17270.0,34.0,M6E2W1,1088.0,Oakwood Village Library (Toronto Public Library),Oakwood Village,107.0,York,0.0,341 Oakwood Ave,(416) 394-1040,Josh Colle,M6E,ON,1,15.0,Eglinton-Lawrence,POINT (-79.4389749999999 43.68789099999999)
112,OS,43.65815299999991,-79.39879199999999,,,,Osborne Collection,Osborne Collection,Other,DL,No,,,M5T1R5,1089.0,,Kensington-Chinatown,78.0,Toronto,0.0,239 College St,(416) 393-7746,Joe Cressy,M5T,ON,0,20.0,Trinity-Spadina,POINT (-79.39879199999999 43.65815299999991)
69,PM,43.66537799999991,-79.4139389999999,7.0,Lillian H.Smith-Northern District,Lillian H. Smith 1,Palmerston,Palmerston,Neighbourhood 3,NL,No,8493.0,35.0,M6G2P7,1090.0,Palmerston (Toronto Public Library),Annex,95.0,Toronto,0.0,560 Palmerston Ave,(416) 393-7680,Joe Cressy,M6G,ON,1,20.0,Trinity-Spadina,POINT (-79.4139389999999 43.66537799999991)
70,PA,43.678604,-79.3447189999999,18.0,Don Mills-Pape/Danforth-S.W.Stewart,Pape/Danforth,Pape/Danforth,Pape/Danforth,District,DL,No,8175.0,38.0,M4K3S6,1091.0,Pape/Danforth (Toronto Public Library),Blake-Jones,69.0,Toronto,0.0,701 Pape Ave,(416) 393-7727,Paula Fletcher,M4K,ON,1,30.0,Toronto-Danforth,POINT (-79.3447189999999 43.678604)
71,PK,43.641522,-79.4319979999999,26.0,Bloor/Gladstone-Brentwood-Richview,Bloor/Gladstone,Parkdale,Parkdale,Neighbourhood 1,NL,No,24083.0,40.0,M6K1L6,1092.0,Parkdale (Toronto Public Library),South Parkdale,85.0,Toronto,1.0,1303 Queen St W,(416) 393-7686,Gord Perks,M6K,ON,1,14.0,Parkdale-High Park,POINT (-79.43199799999989 43.641522)
72,PL,43.662182999999914,-79.3658539999999,13.0,Lillian H.Smith-Northern District,Lillian H. Smith 2,Parliament Street,Parliament Street,Neighbourhood 1,NL,No,14634.0,42.0,M5A2G6,1093.0,Parliament (Toronto Public Library),Moss Park,73.0,Toronto,1.0,269 Gerrard St E,(416) 393-7663,Pam McConnell,M5A,ON,1,28.0,Toronto Centre-Rosedale,POINT (-79.3658539999999 43.66218299999991)
73,PE,43.665284,-79.45331899999988,3.0,Bloor/Gladstone-Brentwood-Richview,Bloor/Gladstone,Perth/Dupont,Perth/Dupont,Neighbourhood 3,NL,No,3627.0,45.0,M6P3S5,1006.0,Perth/Dupont (Toronto Public Library),Dovercourt-Wallace Emerson-Junction,93.0,Toronto,0.0,1589 Dupont St,(416) 393-7677,Ana Bailão,M6P,ON,1,18.0,Davenport,POINT (-79.45331899999988 43.665284)
74,PV,43.787673999999996,-79.33648799999999,8.0,Agincourt-Barbara Frum-Fairview,Fairview,Pleasant View,Pleasant View,Neighbourhood 3,NL,No,7000.0,60.0,M2J4S8,1094.0,Pleasant View (Toronto Public Library),Pleasant View,46.0,North York,0.0,575 Van Horne Ave,(416) 395-5940,Shelley Carroll,M2J,ON,1,33.0,Don Valley East,POINT (-79.33648799999999 43.787674)
75,PU,43.77903299999991,-79.139184,6.0,Albert Campbell-Cedarbrae-Malvern,Albert Campbell,Port Union,Port Union,Neighbourhood 3,NL,No,5000.0,50.0,M1C3B2,1095.0,Port Union (Toronto Public Library),Centennial Scarborough,133.0,Scarborough,0.0,5450 Lawrence Ave E,(416) 396-8885,Ron Moeser,M1C,ON,1,44.0,Scarborough East,POINT (-79.139184 43.77903299999991)
76,QS,43.659275999999906,-79.3479899999999,6.0,Don Mills-Pape/Danforth-S.W.Stewart,Pape/Danforth,Queen/Saulter,Queen/Saulter,Neighbourhood 3,NL,No,2957.0,,M4M1H3,1096.0,Queen/Saulter (Toronto Public Library),South Riverdale,70.0,Toronto,0.0,765 Queen St E,(416) 393-7723,Paula Fletcher,M4M,ON,1,30.0,Toronto-Danforth,POINT (-79.3479899999999 43.65927599999991)
77,RX,43.72659999999991,-79.57382699999988,6.0,Albion-M.A.Shchuka-York Woods,Albion,Rexdale,Rexdale,Neighbourhood 3,NL,No,5088.0,,M9W4L5,1097.0,Rexdale (Toronto Public Library),Rexdale-Kipling,4.0,Etobicoke,1.0,2243 Kipling Ave,(416) 394-5200,Rob Ford,M9W,ON,1,2.0,Etobicoke North,POINT (-79.57382699999988 43.72659999999991)
78,RI,43.68374899999991,-79.540773,42.0,Bloor/Gladstone-Brentwood-Richview,Richview,Richview,Richview,District,DL,No,47252.0,37.0,M9P3N3,1098.0,Richview (Toronto Public Library),Willowridge-Martingrove-Richview,7.0,Etobicoke,1.0,1806 Islington Ave,(416) 394-5120,John Campbell,M9P,ON,1,4.0,Etobicoke Centre,POINT (-79.540773 43.68374899999991)
79,RD,43.66551100000001,-79.35269199999999,19.0,Don Mills-Pape/Danforth-S.W.Stewart,Pape/Danforth,Riverdale,Riverdale,Neighbourhood 1,NL,No,9658.0,46.0,M4K2M8,1099.0,Riverdale (Toronto Public Library),North Riverdale,68.0,Toronto,0.0,370 Broadview Ave,(416) 393-7720,Paula Fletcher,M4K,ON,1,30.0,Toronto-Danforth,POINT (-79.35269199999999 43.66551100000001)
80,RN,43.651970999999996,-79.472593,15.0,Bloor/Gladstone-Brentwood-Richview,Brentwood,Runnymede,Runnymede,Neighbourhood 1,NL,No,12034.0,72.0,M6S1M8,1100.0,Runnymede (Toronto Public Library),High Park North,88.0,Toronto,0.0,2178 Bloor St W,(416) 393-7697,Sarah Doucette,M6S,ON,1,13.0,Parkdale-High Park,POINT (-79.472593 43.651971)
81,SWS,43.691904,-79.32937899999999,39.0,Don Mills-Pape/Danforth-S.W.Stewart,S. Walter Stewart,S. Walter Stewart,S. Walter Stewart,District,DL,No,25847.0,52.0,M4J2K5,1101.0,S. Walter Stewart (Toronto Public Library),Danforth Village - East York,59.0,East York,0.0,170 Memorial Park Dr,(416) 396-3975,Glenn De Baeremaeker,M4J,ON,1,38.0,Scarborough Centre,POINT (-79.32937899999999 43.691904)
82,SA,43.652157,-79.40594799999988,15.0,Lillian H.Smith-Northern District,Lillian H. Smith 1,Sanderson,Sanderson,Neighbourhood 2,NL,Yes,12702.0,49.0,M5T1J1,1102.0,Sanderson (Toronto Public Library),Kensington-Chinatown,78.0,Toronto,0.0,327 Bathurst St,(416) 393-7653,Mary Fragedakis,M5T,ON,1,29.0,Toronto-Danforth,POINT (-79.40594799999988 43.652157)
83,SC,43.77209200000001,-79.2571379999999,17.0,Albert Campbell-Cedarbrae-Malvern,Cedarbrae,Scarborough Civic Centre,Scarborough Civic Centre,Neighbourhood 2,NL,No,14500.0,81.0,M1P4N7,1103.0,Scarborough Civic Centre,Bendale,127.0,Scarborough,1.0,150 Borough Dr,(416) 396-3599,Joe Cressy,M1P,ON,1,20.0,Trinity-Spadina,POINT (-79.2571379999999 43.77209200000001)
84,SP,43.666691,-79.403874,5.0,Lillian H.Smith-Northern District,Lillian H. Smith 2,Spadina Road,Spadina Road,Neighbourhood 3,NL,No,3952.0,,M5R2S7,1104.0,Spadina Road (Toronto Public Library),Annex,95.0,Toronto,0.0,10 Spadina Rd,(416) 393-7655,Joe Cressy,M5R,ON,1,20.0,Trinity-Spadina,POINT (-79.403874 43.666691)
118,SAR,43.67098599999991,-79.3870799999999,,,,Special Collections Art Room,Special Collections,Other,R&R,No,,,M4W2G4,,,Rosedale-Moore Park,98.0,Toronto,0.0,785 Yonge St,(416) 395-5573,Kristyn Wong‐Tam,M4W,ON,0,23.0,Toronto Centre-Rosedale,POINT (-79.3870799999999 43.67098599999991)
119,SARS,,,,,,Special Collections Art Room Stacks,Special Collections,Other,R&R,No,,,M4W2G5,,,Rosedale-Moore Park,98.0,Toronto,,786 Yonge St,(416) 395-5574,Kristyn Wong‐Tam,M4W,ON,0,24.0,Toronto Centre-Rosedale,POINT (nan nan)
116,SACD,43.69233599999992,-79.368193,,,,Special Collections Arthur Conan Doyle,Special Collections,Other,R&R,No,,,M4W2G2,,,Rosedale-Moore Park,98.0,Toronto,0.0,783 Yonge St,(416) 395-5571,Kristyn Wong‐Tam,M4W,ON,0,21.0,Toronto Centre-Rosedale,POINT (-79.36819300000001 43.69233599999992)
117,SACDS,43.69095500000001,-79.36868599999988,,,,Special Collections Arthur Conan Doyle Stacks,Special Collections,Other,R&R,No,,,M4W2G3,,,Rosedale-Moore Park,98.0,Toronto,0.0,784 Yonge St,(416) 395-5572,Kristyn Wong‐Tam,M4W,ON,0,22.0,Toronto Centre-Rosedale,POINT (-79.36868599999988 43.69095500000001)
120,SBR,,,,,,Special Collections Baldwin Room,Special Collections,Other,R&R,No,,,M4W2G6,,,Rosedale-Moore Park,98.0,Toronto,,787 Yonge St,(416) 395-5575,Kristyn Wong‐Tam,M4W,ON,0,25.0,Toronto Centre-Rosedale,POINT (nan nan)
121,SBRS,43.67025,-79.38713699999988,,,,Special Collections Baldwin Room Stacks,Special Collections,Other,R&R,No,,,M4W2G7,,,Rosedale-Moore Park,98.0,Toronto,0.0,788 Yonge St,(416) 395-5576,Kristyn Wong‐Tam,M4W,ON,0,26.0,Toronto Centre-Rosedale,POINT (-79.38713699999988 43.67025)
85,SI,43.674080999999994,-79.46069400000002,5.0,Bloor/Gladstone-Brentwood-Richview,Bloor/Gladstone,St. Clair/Silverthorn,St. Clair/Silverthorn,Neighbourhood 3,NL,No,4587.0,48.0,M6N1J3,1105.0,St. Clair/Silverthorn (Toronto Public Library),Weston-Pellam Park,91.0,Toronto,1.0,1748 St. Clair Ave W,(416) 393-7709,Cesar Palacio,M6N,ON,1,17.0,Davenport,POINT (-79.46069400000002 43.67408099999999)
86,SJ,43.670321,-79.37600499999999,18.0,Lillian H.Smith-Northern District,Lillian H. Smith 2,St. James Town,St. James Town,Neighbourhood 2,NL,No,7800.0,,M4X1K7,1106.0,St. James Town (Toronto Public Library),North St. James Town,74.0,Toronto,0.0,495 Sherbourne St,(416) 393-7744,Pam McConnell,M4X,ON,1,28.0,Toronto Centre-Rosedale,POINT (-79.37600499999999 43.670321)
87,SL,43.650306999999906,-79.36817599999999,7.0,Lillian H.Smith-Northern District,Lillian H. Smith 2,St. Lawrence,St. Lawrence,Neighbourhood 3,NL,No,4833.0,,M5A4H3,1107.0,St. Lawrence (Toronto Public Library),Waterfront Communities-The Island,77.0,Toronto,0.0,171 Front St E,(416) 393-7655,Pam McConnell,M5A,ON,1,28.0,Toronto Centre-Rosedale,POINT (-79.36817599999999 43.65030699999991)
88,ST,43.816139999999905,-79.32274399999999,7.0,Agincourt-Barbara Frum-Fairview,Agincourt,Steeles,Steeles,Neighbourhood 3,NL,No,5009.0,53.0,M1W3Y1,1108.0,Steeles (Toronto Public Library),Steeles,116.0,Scarborough,0.0,"375 Bamburgh Circle, C107",(416) 396-8975,Jim Karygiannis,M1W,ON,1,39.0,Scarborough Agincourt,POINT (-79.32274399999999 43.8161399999999)
114,SB,43.72110800000001,-79.37883699999998,,CWS,CWS,Sunnybrook Hospital,Sunnybrook Hospital,,,No,,,M4N3M5,,,All Toronto,-1.0,Toronto,0.0,2075 Bayview Ave,,,M4N,ON,0,,,POINT (-79.37883699999998 43.72110800000001)
89,SW,43.646566999999905,-79.477681,2.0,Bloor/Gladstone-Brentwood-Richview,Brentwood,Swansea Memorial,Swansea Memorial,Other,NL,No,1127.0,,M6S3H9,1109.0,Swansea Memorial (Toronto Public Library),High Park-Swansea,87.0,Toronto,0.0,95 Lavinia Ave,(416) 393-7695,Sarah Doucette,M6S,ON,1,13.0,Parkdale-High Park,POINT (-79.477681 43.64656699999991)
90,TA,43.68683899999991,-79.27233899999999,8.0,Albert Campbell-Cedarbrae-Malvern,Albert Campbell,Taylor Memorial,Taylor Memorial,Neighbourhood 3,NL,No,5000.0,54.0,M1N1R3,1110.0,Taylor Memorial (Toronto Public Library),Birchcliffe-Cliffside,122.0,Scarborough,0.0,1440 Kingston Rd,(416) 396-8939,Gary Crawford,M1N,ON,1,36.0,Scarborough Southwest,POINT (-79.27233899999999 43.68683899999991)
91,TH,43.702845,-79.34221399999991,19.0,Don Mills-Pape/Danforth-S.W.Stewart,Don Mills,Thorncliffe,Thorncliffe,Neighbourhood 2,NL,No,11034.0,78.0,M4H1J7,1111.0,Thorncliffe (Toronto Public Library),Thorncliffe Park,55.0,East York,1.0,48 Thorncliffe Park Dr,(416) 396-3865,Jon Burnside,M4H,ON,1,26.0,Don Valley West,POINT (-79.34221399999991 43.702845)
92,TOD,43.69131000000001,-79.349511,3.0,Don Mills-Pape/Danforth-S.W.Stewart,S. Walter Stewart,Todmorden Room,Todmorden Room,Other,NL,No,554.0,,M4K3W6,1112.0,Todmorden Room (Toronto Public Library),Old East York,58.0,East York,0.0,1081½ Pape Ave,(416) 396-3875,Mary Fragedakis,M4K,ON,1,29.0,Toronto-Danforth,POINT (-79.34951100000001 43.69131000000001)
101,TPL,,,,,,Toronto Public Library,Toronto Public Library,,,No,,,,,Toronto Public Library,All Toronto,-1.0,,,,,,,,0,,,POINT (nan nan)
93,TRL,43.67171199999991,-79.3873839999999,204.0,R & R,Toronto Reference Library,Toronto Reference Library,Toronto Reference Library,R&R,R&R,No,426535.0,67.0,M4W2G8,1113.0,Toronto Reference Library (Toronto Public Library),Rosedale-Moore Park,98.0,Toronto,0.0,789 Yonge St,(416) 395-5577,Kristyn Wong‐Tam,M4W,ON,1,27.0,Toronto Centre-Rosedale,POINT (-79.3873839999999 43.67171199999991)
122,TRLS,43.67171199999991,-79.3873839999999,,,,Toronto Reference Library Stacks,Toronto Reference Library ,R&R,R&R,No,,,M4W2G8,,,Rosedale-Moore Park,98.0,Toronto,0.0,789 Yonge St,(416) 395-5577,Kristyn Wong‐Tam,M4W,ON,0,27.0,Toronto Centre-Rosedale,POINT (-79.3873839999999 43.67171199999991)
123,URB,,,,,,Urban Affairs,Urban Affairs,,,No,,,,,,All Toronto,-1.0,,,,,,,,0,,,POINT (nan nan)
94,VV,43.73655699999991,-79.31273299999987,6.0,Don Mills-Pape/Danforth-S.W.Stewart,Don Mills,Victoria Village,Victoria Village,Neighbourhood 3,NL,No,5383.0,63.0,M4A2C4,1114.0,Victoria Village (Toronto Public Library),Victoria Village,43.0,North York,1.0,184 Sloane Ave,(416) 395-5950,Denzil Minnan‐Wong,M4A,ON,1,34.0,Don Valley East,POINT (-79.31273299999987 43.73655699999991)
124,VIR,,,,,,Virtual Library,Virtual Library,,,No,,,,,,All Toronto,-1.0,,,,,,,,0,,,POINT (nan nan)
153,WEB,,,,,,Web Renewal,Web Renewal,,,No,,,,,,All Toronto,-1.0,,0.0,,,,,ON,0,,,POINT (nan nan)
95,WE,43.70214500000001,-79.519931,12.0,Albion-M.A.Shchuka-York Woods,Albion,Weston,Weston,Neighbourhood 2,NL,No,11944.0,43.0,M9N1K9,1007.0,Weston (Toronto Public Library),Weston,113.0,York,1.0,2 King St,(416) 394-1016,Frances Nunziata,M9N,ON,1,11.0,York South-Weston,POINT (-79.519931 43.70214500000001)
96,WS,43.810948999999994,-79.27095699999988,24.0,Albert Campbell-Cedarbrae-Malvern,Malvern,Woodside Square,Woodside Square,Neighbourhood 1,NL,No,9792.0,77.0,M1V1V2,1008.0,Woodside Square (Toronto Public Library),Agincourt North,129.0,Scarborough,0.0,1571 Sandhurst Cir,(416) 396-8979,Chin Lee,M1V,ON,1,41.0,Scarborough Rouge River,POINT (-79.27095699999988 43.81094899999999)
97,WP,43.73931300000001,-79.538105,8.0,Albion-M.A.Shchuka-York Woods,York Woods,Woodview Park,Woodview Park,Neighbourhood 3,NL,No,6658.0,,M9M1M8,1115.0,Woodview Park (Toronto Public Library),Humbermede,22.0,North York,1.0,16 Bradstock Rd,(416) 395-5960,Giorgio Mammoliti,M9M,ON,1,7.0,York West,POINT (-79.538105 43.73931300000001)
98,WY,43.68253000000001,-79.41803899999988,9.0,Lillian H.Smith-Northern District,Northern District,Wychwood,Wychwood,Neighbourhood 2,NL,No,6381.0,51.0,M5R3J2,1116.0,Wychwood (Toronto Public Library),Casa Loma,96.0,Toronto,0.0,1431 Bathurst St,(416) 393-7683,Joe Mihevc,M5R,ON,1,21.0,St. Paul's,POINT (-79.41803899999988 43.68253000000001)
99,YW,43.75953599999991,-79.506634,43.0,Albion-M.A.Shchuka-York Woods,York Woods,York Woods,York Woods,District,DL,Yes,42176.0,65.0,M3N1M6,1117.0,York Woods (Toronto Public Library),Glenfield-Jane Heights,25.0,North York,1.0,1785 Finch Ave W,(416) 395-5980,Anthony Perruzza,M3N,ON,1,8.0,York West,POINT (-79.50663400000001 43.75953599999991)
100,YO,43.671795,-79.38823599999999,7.0,Lillian H.Smith-Northern District,Lillian H. Smith 2,Yorkville,Yorkville,Neighbourhood 2,NL,No,9053.0,,M4W1L4,1118.0,Yorkville (Toronto Public Library),Annex,95.0,Toronto,0.0,22 Yorkville Ave,(416) 393-7660,Kristyn Wong‐Tam,M4W,ON,1,27.0,Toronto Centre-Rosedale,POINT (-79.38823599999999 43.671795)
